"Time","Subsystem #1|Substep|box|CTLs|Vars|Pload1","Subsystem #1|Substep|box|CTLs|Vars|Ppv1"
0.94205,192.0471716,194.4719767
0.9421,193.7907517,194.6704409
0.94215,192.5078195,194.6666556
0.9422,194.612504,194.7974611
0.94225,193.2934832,194.7281551
0.9423,194.8564674,194.7959053
0.94235,193.5299337,194.6650954
0.9424,194.9044735,194.7249406
0.94245,193.5744003,194.612775
0.9425,194.9446725,194.689398
0.94255,193.6112328,194.593207
0.9426,194.9773364,194.6851084
0.94265,193.6407514,194.6037723
0.9427,194.5842355,194.7099399
0.94275,193.2692822,194.6424476
0.9428,194.8510038,194.7106162
0.94285,193.5280483,194.5797823
0.9429,195.4716389,194.5881448
0.94295,194.117675,194.399397
0.943,195.9413583,194.3520827
0.94305,194.5601861,194.1090889
0.9431,195.7322746,194.0611105
0.94315,194.3541145,193.8441214
0.9432,195.5305406,193.8201998
0.94325,194.1552701,193.6263443
0.9433,194.7788195,193.6708587
0.94335,193.4333245,193.575527
0.9434,194.1541724,193.7134765
0.94345,192.8352454,193.7084426
0.9435,193.648986,193.9328491
0.94355,192.3535626,194.0116039
0.9436,193.25593,194.316189
0.94365,191.9811195,194.4726182
0.9437,193.5760026,194.8057355
0.94375,192.2908511,194.9585385
0.9438,194.4649575,195.2385623
0.94385,193.1421514,195.3144047
0.9439,194.6005249,195.5728132
0.94395,193.2720487,195.6539465
0.944,195.8788368,195.8088259
0.94405,194.4900241,195.7420923
0.9441,196.2831032,195.8132037
0.94415,194.8690252,195.6861848
0.9442,196.5471449,195.6981754
0.94425,195.1114518,195.5131237
0.9443,196.1298908,195.5205169
0.94435,194.702855,195.3573414
0.9444,195.7304974,195.3846657
0.94445,194.3117336,195.2405106
0.9445,195.3480025,195.2860674
0.94455,193.9371208,195.1596087
0.9446,194.9814346,195.2221958
0.94465,193.5780662,195.1122841
0.9447,194.6298632,195.1907895
0.94475,193.2336617,195.0963386
0.9448,194.2924013,195.189705
0.94485,192.9030416,195.1096802
0.9449,193.9682035,195.2169001
0.94495,192.5853811,195.1503152
0.945,194.7697219,195.1626057
0.94505,193.3390767,194.9562056
0.9451,194.7472888,194.8926172
0.94515,193.3026698,194.6338624
0.9452,193.5865189,194.5705171
0.94525,192.1838523,194.3382572
0.9453,193.0471951,194.2993496
0.94535,191.6567874,194.0905073
0.9454,191.4942158,194.1203172
0.94545,190.1686507,194.0101921
0.9455,190.7647047,194.0875027
0.94555,189.4702103,193.9911456
0.9456,190.1529522,194.082791
0.94565,188.8864263,194.0006472
0.9457,190.113468,194.1060331
0.94575,188.8463116,194.0372575
0.9458,190.0719836,194.1554861
0.94585,188.8041767,194.0991827
0.9459,190.0283696,194.2293737
0.94595,188.7599895,194.1846777
0.946,190.5470576,194.2746659
0.94605,189.2509296,194.1644803
0.9461,190.9204703,194.1925791
0.94615,189.6003,194.0223968
0.9462,191.157088,193.992772
0.94625,189.8163972,193.7662787
0.9463,191.2649989,193.6824077
0.94635,189.9071084,193.4029673
0.9464,190.2368676,193.3197966
0.94645,188.9176765,193.0677241
0.9465,189.3445078,193.0099494
0.94655,188.0606352,192.7822241
0.9466,188.0305286,192.7941998
0.94665,186.8055675,192.6663675
0.9467,187.4215047,192.7731767
0.94675,186.2234639,192.7370108
0.9468,186.4674766,192.9316284
0.94685,185.3190056,192.9805089
0.9469,185.7345452,193.2565412
0.94695,184.6299827,193.3842437
0.947,186.2624844,193.6897701
0.94705,185.1427742,193.8145718
0.9471,187.3430586,194.0674557
0.94715,186.1811226,194.1154984
0.9472,188.2457391,194.2958793
0.94725,187.046094,194.2737081
0.9473,188.4120287,194.4378277
0.94735,187.2063536,194.4259786
0.9474,188.5640637,194.598688
0.94745,187.3527713,194.5947344
0.9475,188.7025,194.7748481
0.94755,187.4859552,194.7780184
0.9476,189.4016537,194.9136062
0.94765,188.1526988,194.8471807
0.9477,189.9442574,194.9169678
0.94775,188.6668795,194.7867555
0.9478,189.8608853,194.7951442
0.94785,188.5850661,194.6049767
0.9479,189.2003141,194.6071564
0.94795,187.9537466,194.4373831
0.948,188.6542518,194.4580809
0.94805,187.433986,194.3059086
0.9481,188.2164465,194.3434669
0.94815,187.0196602,194.2076108
0.9482,188.3293302,194.2608796
0.94825,187.1279218,194.1403035
0.9483,187.9801556,194.2082772
0.94835,186.7998272,194.1019562
0.9484,187.7280419,194.1836305
0.94845,186.5663388,194.0905824
0.9485,188.126021,194.1335001
0.94855,186.9533678,193.9761816
0.9486,188.8964999,193.9583615
0.94865,187.689306,193.7421813
0.9487,188.9673074,193.719459
0.94875,187.7563053,193.5252098
0.9488,190.1000381,193.4139042
0.94885,188.8322782,193.0848762
0.9489,188.911381,193.0010225
0.94895,187.6989306,192.7798869
0.949,188.3903972,192.7969902
0.94905,187.2023237,192.6730728
0.9491,187.9858555,192.7833385
0.94915,186.8190893,192.7497623
0.9492,188.2677685,192.9004924
0.94925,187.091899,192.8742897
0.9493,188.0873223,193.0333075
0.94935,186.9280975,193.0155149
0.9494,188.5589608,193.1312222
0.94945,187.3868503,193.0448612
0.9495,188.9689845,193.0956972
0.94955,187.7854561,192.9464163
0.9496,189.3212632,192.9366925
0.94965,188.1277167,192.728328
0.9497,189.4935973,192.7134172
0.94975,188.2935275,192.52673
0.9498,189.6527192,192.5316887
0.94985,188.4464281,192.3640628
0.9499,189.7991769,192.3873486
0.94995,188.5870112,192.2375751
0.95,189.373787,192.3244053
0.95005,188.1832622,192.2685094
0.9501,189.0585581,192.4442777
0.95015,187.886884,192.4743123
0.9502,188.8467256,192.7323215
0.95025,187.6912341,192.8420568
0.9503,189.3292049,193.1303448
0.95035,188.1593076,193.2378633
0.9504,189.7783643,193.5252761
0.95045,188.5948639,193.6323957
0.9505,190.1956896,193.9194151
0.95055,188.9994002,194.026165
0.9506,191.1686486,194.2615019
0.95065,189.9325362,194.2918879
0.9507,191.9676624,194.4549611
0.95075,190.6961532,194.4153217
0.9508,192.1531562,194.510968
0.95085,190.8759204,194.4055193
0.9509,192.2913226,194.4376924
0.95095,191.0096005,194.2702508
0.951,192.2710111,194.2942782
0.95105,190.9877334,194.1454166
0.9511,192.2464733,194.1862197
0.95115,190.961715,194.0533413
0.9512,192.2178038,194.1094611
0.95125,190.9316987,193.9914698
0.9513,192.1851239,194.0619237
0.95135,190.8977998,193.9578839
0.9514,192.1485419,194.041767
0.95145,190.8601234,193.9507944
0.9515,192.1081583,194.0472457
0.95155,190.8187671,193.9684971
0.9516,191.0338049,194.122859
0.95165,189.7967237,194.1321421
0.9517,190.1858112,194.3696005
0.95175,188.9952928,194.4589749
0.9518,190.5913043,194.7269976
0.95185,189.3884091,194.8144262
0.9519,190.524021,195.0818465
