"Time","Subsystem #1|Substep|box|Boost|ILpv1","Subsystem #1|Substep|box|Node Voltages|S1) VPV1"
0.14685,0.01301314029,0.07016069228
0.1469,0.01272297307,0.07027954903
0.14695,0.01298482688,0.07023816216
0.147,0.01259452475,0.07051720866
0.14705,0.01285743459,0.07053787656
0.1471,0.01251785645,0.07075862748
0.14715,0.01278162606,0.07075078566
0.1472,0.01249273116,0.07088323733
0.14725,0.01275688704,0.07083623476
0.1473,0.01251843786,0.07088104957
0.14735,0.012782493,0.07079475137
0.1474,0.01264434691,0.07068902057
0.14745,0.01290747895,0.07052291114
0.1475,0.0127183939,0.07044978523
0.14755,0.01298067596,0.07031211882
0.1476,0.0127910275,0.07024737673
0.14765,0.01305254537,0.07011437344
0.1477,0.01286226659,0.07004929266
0.14775,0.01312302933,0.06991759721
0.1478,0.01288199893,0.06992301806
0.14785,0.01314237512,0.06983320172
0.1479,0.01290108543,0.06985547669
0.14795,0.01316122135,0.0697735654
0.148,0.0128195801,0.06995510734
0.14805,0.01308027392,0.06994960581
0.1481,0.01278918516,0.07008323808
0.14815,0.01305030953,0.0700516664
0.1482,0.01270936152,0.07025369471
0.14825,0.01297120417,0.07025013902
0.1483,0.01273105853,0.07030948916
0.14835,0.01299295426,0.07023677824
0.1484,0.01270263276,0.07034349266
0.14845,0.01296471817,0.07029631358
0.1485,0.01272472053,0.07033845786
0.14855,0.0129867103,0.07025845675
0.1486,0.01274662508,0.07028735101
0.14865,0.01300840827,0.07020270628
0.1487,0.01271805828,0.07030448837
0.14875,0.01297999108,0.07025596695
0.1488,0.01273994478,0.07029733048
0.14885,0.01300177744,0.07021752498
0.1489,0.01276164695,0.07024617814
0.14895,0.01302327332,0.07016191504
0.149,0.01278301661,0.07018840662
0.14905,0.01304442133,0.07010398259
0.1491,0.01280403274,0.07013001741
0.14915,0.01306521509,0.07004612457
0.1492,0.01277459077,0.07014752373
0.14925,0.01303592778,0.07010143492
0.1493,0.01274547899,0.07021829706
0.14935,0.01300709888,0.07017725717
0.1494,0.01271678788,0.0702963147
0.14945,0.0129787057,0.07025482301
0.1495,0.01273871737,0.07029892224
0.14955,0.01300055853,0.07022015106
0.1496,0.01271028227,0.07032429391
0.14965,0.01297229238,0.07027637735
0.1497,0.01273219868,0.07031816571
0.14975,0.0129941111,0.0702383319
0.1498,0.01275380574,0.07026731651
0.14985,0.01301551314,0.07018308396
0.1499,0.0127750353,0.0702099931
0.14995,0.01303652289,0.07012565358
0.15,0.01274575079,0.07022750929
0.15005,0.01300739204,0.07018046713
0.1501,0.01271677235,0.0702974588
0.15015,0.01297869299,0.07025529776
0.1502,0.01268827918,0.07037434796
0.15025,0.01295049324,0.07033162974
0.1503,0.01271046127,0.07037582599
0.15035,0.01297259514,0.07029622576
0.1504,0.01273248151,0.07032564393
